291,1165,4661,18645,74581,298325,1193301,4773205,19092821,76371285
585,2341,9365,37461,149845,599381,2397525,9590101,38360405,153441621
295,1181,4725,18901,75605,302421,1209685,4838741,19354965,77419861
593,2373,9493,37973,151893,607573,2430293,9721173,38884693,155538773
299,1197,4789,19157,76629,306517,1226069,4904277,19617109,78468437
601,2405,9621,38485,153941,615765,2463061,9852245,39408981,157635925
303,1213,4853,19413,77653,310613,1242453,4969813,19879253,79517013
609,2437,9749,38997,155989,623957,2495829,9983317,39933269,159733077
307,1229,4917,19669,78677,314709,1258837,5035349,20141397,80565589
617,2469,9877,39509,158037,632149,2528597,10114389,40457557,161830229
311,1245,4981,19925,79701,318805,1275221,5100885,20403541,81614165
625,2501,10005,40021,160085,640341,2561365,10245461,40981845,163927381
315,1261,5045,20181,80725,322901,1291605,5166421,20665685,82662741
633,2533,10133,40533,162133,648533,2594133,10376533,41506133,166024533
319,1277,5109,20437,81749,326997,1307989,5231957,20927829,83711317
641,2565,10261,41045,164181,656725,2626901,10507605,42030421,168121685
323,1293,5173,20693,82773,331093,1324373,5297493,21189973,84759893
649,2597,10389,41557,166229,664917,2659669,10638677,42554709,170218837
327,1309,5237,20949,83797,335189,1340757,5363029,21452117,85808469
657,2629,10517,42069,168277,673109,2692437,10769749,43078997,172315989
331,1325,5301,21205,84821,339285,1357141,5428565,21714261,86857045
665,2661,10645,42581,170325,681301,2725205,10900821,43603285,174413141
335,1341,5365,21461,85845,343381,1373525,5494101,21976405,87905621
673,2693,10773,43093,172373,689493,2757973,11031893,44127573,176510293
339,1357,5429,21717,86869,347477,1389909,5559637,22238549,88954197
681,2725,10901,43605,174421,697685,2790741,11162965,44651861,178607445
343,1373,5493,21973,87893,351573,1406293,5625173,22500693,90002773
689,2757,11029,44117,176469,705877,2823509,11294037,45176149,180704597
347,1389,5557,22229,88917,355669,1422677,5690709,22762837,91051349
697,2789,11157,44629,178517,714069,2856277,11425109,45700437,182801749
351,1405,5621,22485,89941,359765,1439061,5756245,23024981,92099925
705,2821,11285,45141,180565,722261,2889045,11556181,46224725,184898901
355,1421,5685,22741,90965,363861,1455445,5821781,23287125,93148501
713,2853,11413,45653,182613,730453,2921813,11687253,46749013,186996053
359,1437,5749,22997,91989,367957,1471829,5887317,23549269,94197077
721,2885,11541,46165,184661,738645,2954581,11818325,47273301,189093205
363,1453,5813,23253,93013,372053,1488213,5952853,23811413,95245653
729,2917,11669,46677,186709,746837,2987349,11949397,47797589,191190357
367,1469,5877,23509,94037,376149,1504597,6018389,24073557,96294229
737,2949,11797,47189,188757,755029,3020117,12080469,48321877,193287509
371,1485,5941,23765,95061,380245,1520981,6083925,24335701,97342805
745,2981,11925,47701,190805,763221,3052885,12211541,48846165,195384661
375,1501,6005,24021,96085,384341,1537365,6149461,24597845,98391381
753,3013,12053,48213,192853,771413,3085653,12342613,49370453,197481813
379,1517,6069,24277,97109,388437,1553749,6214997,24859989,99439957
761,3045,12181,48725,194901,779605,3118421,12473685,49894741,199578965
383,1533,6133,24533,98133,392533,1570133,6280533,25122133,100488533
769,3077,12309,49237,196949,787797,3151189,12604757,50419029,201676117
387,1549,6197,24789,99157,396629,1586517,6346069,25384277,101537109
777,3109,12437,49749,198997,795989,3183957,12735829,50943317,203773269
391,1565,6261,25045,100181,400725,1602901,6411605,25646421,102585685
785,3141,12565,50261,201045,804181,3216725,12866901,51467605,205870421
395,1581,6325,25301,101205,404821,1619285,6477141,25908565,103634261
793,3173,12693,50773,203093,812373,3249493,12997973,51991893,207967573
399,1597,6389,25557,102229,408917,1635669,6542677,26170709,104682837
801,3205,12821,51285,205141,820565,3282261,13129045,52516181,210064725
403,1613,6453,25813,103253,413013,1652053,6608213,26432853,105731413
809,3237,12949,51797,207189,828757,3315029,13260117,53040469,212161877
407,1629,6517,26069,104277,417109,1668437,6673749,26694997,106779989
817,3269,13077,52309,209237,836949,3347797,13391189,53564757,214259029
